"ID","Malt","PPG","PotentialSG","Manufacturer","Moisture","ExtractLKG","ExtractPercent","ColourEBCIMin","ColourEBCIMax","ColourEBCEMin","ColourEBCEMax","ColourLovibondMin","ColourLovibondMax","Nitrogen","Protien","RatioSNRMin","RatioSNRMax","RatioKIMin","RatioKIMax","RatioSTMin","RatioSTMax","IDP","EDPWK","ADPLinter","Max","Characteristics","Usage"
"251","Wheat Black","33","1.033","3","4.5","0","77","0","0","1100","1400","0","0","0","0","0","0","0","0","0","0","0","0","0","20","Ch?teau Wheat Black is a very special roasted wheat malt that will add complex flavours to your beers, the most pronounced note being coffee with intense roasted characters. Thanks to our unique roasting technology, this malt will not bring any astringency to the beer. Please note you will not obtain any taste typical of non-roasted wheat malts.","Dunkelweizen, Altbier, Black IPAs, Schwarzbiers, and specialty ales. Up to 20% of the mix."
"252","Diastatic","37","1.037","3","7","0","80","0","0","2.5","4","1.4","2","0","11.5","0","0","0","0","0","0","0","380","0","30","Provides the necessary diastatic power in mashing when low-enzyme malt or unmalted grain is used; raises the extraction efficiency.","Any type of beer. Recommended: up to 30% of the mix."
"253","Peated","37","1.037","3","5","0","80","0","0","4","4","2.1","2.1","0","11.5","0","0","40","45","0","0","0","250","0","10","Imparts a distinctive smoky, spicy aroma and flavour, typical for classic German beer styles. Smoked beer brewed with Ch?teau Peated malt tastes like a forest fire - but in a good way!! It has a rich head and a mouthfeel similar to sparkling ale.","Scottish ale, porters, smoked beer, special beers. Recommended proportion: up to 10% of the mix."
"254","Buckwheat","30","1.03","3","8","0","65.3","0","0","4","15","2.1","6.2","0","11","0","0","0","0","0","0","0","0","0","40","Ch?teau Buckwheat malt is used in the production of gluten-free beer. Adds a particular nutty and malty flavor to your beer. It also can be used in specialty beers to render a rich and deep tone. NB! Buckwheat malt has no diastatic power.","Any type of gluten-free beer; up to 40 % of the mix."
"255","Oats","27","1.027","3","7","0","78.5","0","0","5","5","2.4","2.4","0","14","0","0","0","0","0","0","0","0","0","15","Ch?teau Oat malt gives a distinctive silkiness to the beer. Great for enhancing body, head retention, and flavor of dark beers. Used as a flavor adjunct, it enhances a biscuit taste in the beer and gives it a unique texture and a creamy mouthfeel. Adds texture and flavor to any dark English beer style.","Dark beers, porters, stouts, robust British ales, winter beers. Up to 15% of the mix."
"256","Spelt","37","1.037","3","6","0","79.5","0","0","3","7","1.7","3.2","0","17","0","0","0","0","0","0","0","0","0","15","Ch?teau Spelt malt imparts a sweet nutty flavor, adds a spicy aroma and an earthy character to your beer. Great for Belgian Saison and Wheat beer styles.","Belgian saison, wheat beers, special beers. Up to 15% of the mix."
"257","Smoked","35","1.035","3","5","0","77","0","0","4","12","2.1","5","0","11.5","0","0","40","45","0","0","0","250","0","15","Smoked over beech wood, this malt develops an intense smoky and sweet-key flavor in your beer or whisky.","Smoked beers, specialty beers, Rauchbier, Alaskan smoked ales, Scottish ales, whisky. Up to 15% of the mix."
"258","Acid","34","1.034","3","10","0","74","0","0","6","16","2.8","6.6","0","11.5","0","0","0","0","0","0","0","0","0","0","Ch?teau Acid malt improves the performance of the hydrolytic enzymes and provides a better mash working. It also intensifies the fermentation by adjusting the pH level. Acid malt enhances a well-rounded taste in your beer and gives stability to its head.","Any ale or lager, wheat beers, light beers for optimizing the pH level."
"259","Rye","37","1.037","3","6","0","81","0","0","3","8","1.7","3.6","0","11","0","0","0","0","0","0","0","0","0","30","Gives a golden color to your beer. This malt imparts a unique touch of rye flavor and adds an interesting complexity by performing a new twist in many well-known beer styles.","Rye ales and lagers, special beers, seasonal beers. Up to 30% of the mix."
"260","Barley Flakes","35","1.035","3","11","0","0","0","0","3","7","1.7","7","0","11.5","0","0","0","0","0","0","0","0","0","0","Chit Barley Malt Flakes retain many of the characteristics of raw barley and are used to improve foam stability and to balance malt with high solubility. Impart a rich dry-grainy flavor to beer and is used primarily in stout. This malt improves head formation and stability.","Any beer type."
"261","Wheat Flakes","23","1.023","3","10","0","0","0","0","3","7","1.7","3.2","0","12","0","0","0","0","0","0","0","0","0","0","Chit wheat malt flakes retain many of the characteristics of raw wheat and are used to improve foam stability and balance malt with high solubility. The flakes can be added directly into the mash.","Any type of beer."
"262","Oak Smoked Wheat","36.8","1.0368","11","5.5","0","82","0","0","4","6","2.1","2.8","0","13.5","0","0","38","45","0","0","0","0","0","100","Produced from quality wheat. Carefully dried over hot, smoky ambers of well-aged oak wood to
achieve characteristic, while preserving relatively pale color. Flavor: mild, delicate, and well-rounded
aroma of oak smoke; malty-sweet; notes of vanilla and honey","Grodziskie (Gr?tzer Beer); Smoked Ales; Ale; Specialty Beer; Smoked Wheat Ales;
Porter; Wheat Beer; ""Hefe-Weizen""; Smoked Beer;"
"263","Roasted Barley","30","1.03","11","3.8","0","65","0","0","1000","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spring barley. Processed slowly and thoroughly by our drum process. Evenly
roasted specialty grain. Adds plenty of dark color and clean depth of flavor to very dark brews.
Flavor: typical roasty aroma; notes of coffee and cocoa","Imperial Stout; Stout; Porter;"
"264","Special W","33","1.033","11","6.5","0","73","0","0","280","320","105.6","120.6","0","0","0","0","0","0","0","0","0","0","0","30","Produced from quality spring barley. Dark-brown, slightly aromatic kernels. Contributes dark-amber
to deep-coppery color to finished beer. Adds mouthfeel as well as a rich malt accent to brew. Very
intense, complex, mild, caramel flavor; bread crust; raisins","Porter; Stout; Black beer (Schwarzbier); Barley Wine-Style Ale; Belgian-Style
Abbey Ale; Belgian ""Bruin"" Beers; Belgian Specialty Beers; German-Style
Doppelbock or Eisbock;"
"265","Floor-malted Bohemian Wheat","38","1.038","11","5.5","0","81","0","0","4.5","7","2.2","3.2","0","13.5","0","0","37","36","0","0","0","0","0","100","Produced from quality czech-grown wheat. Intensified wheat malt aroma and taste, mild sweetness,
creamy mouthfeel. Traditional, authentic floor malt produced in Czech. Republic according to
highest Weyermann? quality standards.","Bohemian Wheat Beers; Wheat Beer; full-bodied international beers; Ale;"
"266","Roasted Rye","29","1.029","11","4","0","65","0","0","500","800","188","300","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality rye. Produce typical roasty aroma. Roasted evenly by our slow and thorough
drum process. Provides finished beer with typical rye notes, as well as some color and clean
roastiness. Flavor: Typical roasty aroma; bready; notes of dark chocolate","Rye Lagers; Specialty Beer; Lager; Multigrain Beers;"
"267","Chocolate Wheat","34","1.034","11","4","0","65","0","0","900","1200","338","451","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality wheat. Processed slowly and thoroughly by our drum process. Evenly roasted,
coffee-brown, aromatic kernels. Adds deep-opaque color and complex flavors to very dark ales.
Flavor: mild roasty aroma; notes of coffee, dark chocolate, and bread","""Dunkle-Weizen""; ""Altbier""; top-fermented Specialty Beers; Wheat Beer;
Specialty Beer;"
"268","Spelt","32","1.032","11","6","0","80","0","0","3","7","1.7","3.2","0","17","0","0","0","0","0","0","0","0","0","100","Produced from quality spelt.","Multigrain Beers; Specialty Beer; top-fermented Specialty Beers; Spelt beers;"
"269","Chocolate Rye","32","1.032","11","4","0","65","0","0","500","800","188","300","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality rye. Carefully and evenly roasted rye malt. Enhances deep opacity, aroma, and
creaminess of dark ales. Flavor: mild notes of coffee, chocolate, nuts and bread","top-fermented Specialty Beers; Specialty Beer; Rye Lagers; Rye Lager;"
"270","Chocolate Spelt","32","1.032","11","4","0","65","0","0","450","1000","170","376","0","0","0","0","0","0","0","0","0","0","0","5","Produced from quality spelt. Spelt wheat, also known as dinkel, is an old wheat variety. Intended for
specialty beers. Processed slowly and thoroughly by our drum process. Evenly roasted, coffeebrown,
aromatic kernels. Adds color and complex flavors to very dark brews. Flavor: intense roast
aroma; intense notes of coffee and chocolate","Spelt beers; Specialty Beer; top-fermented Specialty Beers; Porter; Stout;"
"271","Bohemian Pilsner","37","1.037","11","5","0","80","0","0","4","6","2.1","2.8","0","11.5","0","0","38","42","0","0","0","0","0","100","Produced from quality czech-grown spring barley (authentic Bohemian barley varieties Bojos and
Malz). Processed specifically for ?Bohemian? characteristics to impart a full body, golden-blond
color, and complex maltiness to the finished brew. Flavor: intense malt aromas, malty-sweet","non-alcoholic Beer; all other beer types; Authentic Bohemian Pilsners; Pils; Belgian
Ales; Light Beer; alcohol-reduced Beer;"
"272","Finest Pale Ale Golden Promise","37","1.037","8","3.7","306","81","4","6","4.5","6.5","2.2","3","1.55","9.69","38","42","40","44","40","44","70","228","75","100","Light Malty. When you need a high performing well balanced malt to complement your big hops, look no further than Golden Promise. It gives beautiful mouthfeel to bring balance to beers with even the gutsiest hops. And when you drop the gravity for a session beer, you won?t lose out on body. This gives the biggest base of any malt without adding colour, resulting in exceptional beers. Just ask any of our award winning customers who use Golden Promise ? the results speak for themselves.","Session IPAs, Highly Hopped Keg Beers, Cask Ales, SMASH Beers, Premium All-Rounder"
"273","Finest Pale Ale Maris Otter","37","1.037","8","3.7","306","81","4","6","4.5","6.5","2.2","3","1.55","9.69","38","42","40","44","40","44","70","228","75","100","Rich Malty. Maris Otter?s superior Brewhouse Performance is fantastic. The ?Rolls Royce? of malts for the traditional brewer, this legendary heritage barley variety is the base malt for traditional English Bitter beers. Maris Otter has a low nitrogen content and high extract, producing a rich malty flavour with exceptional Brewhouse Performance and beer clarity.","Cask Ales and English-Style Bitters, Premium All-Rounder"
"274","Low Colour Maris Otter","36","1.036","8","3.7","305","80.5","2","4","2.5","4.5","1.3","2.1","1.55","9.69","35","42","37","44","37","44","70","228","75","100","Light Malty, Fresh. If you need a well modified, high performing malt with a low colour, then Low Colour Maris Otter is the perfect choice. This heritage barley variety is used to produce an exceptional quality base malt, with a high extract and enzymic activity and low nitrogen content. Low Colour Maris Otter is kilned at a low temperature, making it perfect for Cask IPAs and Light Coloured Ales.
Light Malty, Fresh","Light Coloured Cask Ales and IPAs, Premium All-Rounder"
"275","Best Pale Ale","36","1.036","8","3.7","305","80.5","4","6","4.5","6.5","2.2","3","1.55","9.69","38","42","40","44","40","44","70","228","75","100","Rich Malty. For the principal ingredient in keg, bottle or cask ales, we use top quality UK two-row barley to produce a plump, well-modified malt with good extract and enzymic activity. The versatility of this base malt lends itself to balance hoppy beers and provides a robust malty note to a Traditional Bitter or Belgian-style beer.","Cask, Keg or Bottled Ales, Porters and Stouts, Coloured Ales, Lagers, IPAs, SMaSH Beers, All-Rounder"
"276","Extra Pale Ale","36","1.036","8","3.7","305","80.5","2.4","4.5","2.5","4.5","1.5","2.2","1.6","10","38","42","40","44","40","44","70","228","75","100","Rich Malty. Extra Pale Ale Malt is an excellent base malt for Brewers who require a low colour, well modified malt. The plump grains of UK two-row barley ensure uniformity and consistency, as well as good extract and enzymic activity. If you?re limited on base malt storage, Extra Pale Ale Malt doubles as a great light-coloured base for both Lagers and Ales.","Light Coloured Ales and Lagers, All-Rounder"
"277","Finest Lager","37","1.037","8","4.5","307","81","2","4","2.5","4.5","1.3","2.1","1.8","11.25","36","41","38","46","38","46","65","228","75","100","Light Malty, fresh. Finest Lager Malt is a superb low colour lager malt. Well modified, high extract UK spring two row barley give high enzymic activity, low colour, low nitrogen, and exceptional Brewhouse performance. It can be used to make any style of lager with its clean, light malty taste.","Pilsner, Amber and Dark Lagers, Belgian Tripel and Bock. 100% for Pilsner, Up to 95% for Amber and Dark Lagers, Belgian Tripel and Bock"
"278","Vienna","33","1.033","8","3.5","280","75","5","10","6","12","2.4","4.3","0","0","0","0","0","0","0","0","0","0","0","100","Malty, Nutty. Our Vienna malt enhances the light colour, flavour and aroma of all light beers. Light, bready, malty notes bring body to Light Ales, Best Bitters and Czech Lagers. Use as a base malt for highly hopped IPA and American Ales to provide great balance and depth.","Belgian Beers and Hop Forward IPA"
"279","Munich","37","1.037","8","4","303","80","18","25","20","27","7.3","9.9","1.8","11.25","45","45","50","50","50","50","20","60","25","100","Bready, Malty. Our Munich malt brings rich malty flavours and golden hues to light beers. If you?re struggling to bring up the mouthfeel in really hoppy keg beers, try adding a generous proportion of Munich malt to your grist. An excellent base malt for Strong Bitter, Dark Amber Ales, Brown Ales and Milds. Munich Malt brings intense colour and malty notes, without compromising enzymic action. Despite its continental name, this malt provides a fantastic malty base for British Ales and Bitters.","Pale Ale, Strong Bitter, Dark Amber Ale, Brown Ale, Bock. 5-15% Light Beers 100% Darkens Beers Up"
"280","Imperial","33","1.033","8","3.5","280","75","40","50","45","55","15.6","19.3","0","0","0","0","0","0","0","0","0","0","0","80","Biscuit Dry Sweetness (Honey/Plums), Bread Crust. Our Imperial Malt imparts a full-bodied flavour and biscuit aroma. The warm brown notes it adds to the wort intensify the depth of colour, without compromising enzymic activity.","Light Ales, Brown Ales, Porter and Stout. Up to 20% in Light Ales to enhance flavour, Up to 50% in Brown Ales & Porters, Up to 80% in Dark Beers & Stouts"
"281","Aromatic","33","1.033","8","5","260","70","50","70","50","70","19.3","26.3","0","0","0","0","0","0","0","0","0","0","0","50","Malty, Honey, Raisins, Complex Sweetness with Sour After-Notes. The secret weapon in the British Ale Brewer?s arsenal, our aromatic malt has a slightly higher acidity to balance pH. Its complex sweetness with sour after-notes gives a magnificent mouthfeel. This, combined with intense malty notes and raisin, makes our Aromatic Malt a versatile product that can be used from as little as 5% to give warm honey aromas and up to 50% as a base malt for Dark Beers to give raisin and plum notes. Brings a beautiful brown depth of colour.","Ales, Mild, Porter and Bock. Up to 10% Produces a Honey Flavour in Beer, Up to 20% gives Raisin Notes, Up to 50% in Mild, Porters and Bocks Bocks enhances Malty/Fruity Notes
Ales, Mild, Porter and Bock. Up to 10% Produces a Honey Flavour in Beer, Up to 20% gives Raisin Notes, Up to 50% in Mild, Porters and Bocks Bocks enhances Malty/Fruity Notes"
"282","Cornish Gold","36","1.036","8","4","303","80","18","25","20","27","7.3","9.9","1.8","11.25","45","45","50","50","50","50","20","60","25","100","Bready, Malty. Made from 100% Cornish grown, two-row spring barley, our Cornish Gold brings rich malty flavours and golden hues to light beers. An excellent base malt for Strong Bitter, Dark Amber Ales, Brown Ales and Milds. Cornish Gold brings intense colour and malty notes, without compromising enzymic action. This malt provides a fantastic malty base for British Ales and Bitters.","Pale Ale, Strong Bitter, Dark Amber Ale, Brown Ale, Bock. 5-15% Light Beers, 100% Darkens Beers Up"
"283","Caramalt","32","1.032","8","7.5","265","71","30","42","30","42","11.8","16.3","0","0","0","0","0","0","0","0","0","0","0","20","Sweet, Mild Toffee, Grassy. Our Caramalt is a sweet, chewy and heavenly malt. It contributes golden-hued colour enhancement and flavour enrichment from its mild toffee notes in Lagers and Extra Pale Ales. Due to its low colour, it?s incredibly versatile and can be used to enhance almost any beer style that needs a little sweetness.","Suitable for adding to most beers"
"284","Premium English Caramalt","32","1.032","8","3.5","265","71","54","66","54","66","20.8","25.3","0","0","0","0","0","0","0","0","0","0","0","0","?Horlicks?, Sweet Malt, ?Shreddies?. Premium English Caramalt is our top of the range Cara. Used in Light Coloured Beers, it imparts a deliciously sweet malty flavour without the burnt character that higher colour crystals bring. Excellent for colour adjustment on delicately flavoured Lagers and Ales, Premium English Caramalt gives a slight colour increase. It also works well in highly hopped beer to balance out bitterness and citrus aromas.","IPA, English Pale, Wheat Beer and Bock
IPA, English Pale, Wheat Beer and Bock"
"285","Crystal Light","32","1.032","8","6","265","69","95","113","95","113","36.2","42.9","0","0","0","0","0","0","0","0","0","0","0","15","Biscuit, Caramel, Dried Fruit (Apricots), Nutty. Our Crystal Light brings mild caramel and toffee flavours to beers, whilst contributing a beautiful golden hue. Its clean, mild sweetness brings depth of flavour where extra body is required, without adding overtly toasted or roasted characters.","IPAs, Best Bitters, Brown Ales"
"286","Crystal T50","32","1.032","8","5","265","69","126","140","130","145","48","53","0","0","0","0","0","0","0","0","0","0","0","20","Delicate Malty Notes, Honey, Slight Toffee. The secret to our Crystal T50 is in the name. Each batch targets 50 Lovibond colour (130EBC). The specification on Crystal T50 was created with one of our most acclaimed clients in mind. With an exceptionally tight consistency - it?s a fantastic crystal that crunches in the mouth offering. Crystal T50 provides amazing colour and delicate malty flavours to beer.","IPA, Pale Ale, and Bitters
IPA, Pale Ale, and Bitters
IPA, Pale Ale, and Bitters"
"287","Crystal Medium","32","1.032","8","5","265","69","167","190","167","190","63.2","71.8","0","0","0","0","0","0","0","0","0","0","0","15","Pronounced Caramel, Toffee Sweetness. Caramel and toffee notes come to the forefront in our Crystal Medium. Our expert roasters use their skills to bring you a crystal that adds stunning deep golden and red hues to your beer, whilst imparting deeper caramel notes.","Pale Ales, Bitter, Brown Ale, Porter"
"288","Crystal Dark","32","1.032","8","5","265","69","250","285","250","285","94.3","107.5","0","0","0","0","0","0","0","0","0","0","0","15","Burnt Caramel, Toffee, Raisins. With our Crystal Dark, we get into the delicious realms of complex toffee and burnt sugar, but without the astringency of roasted malt. Our unique roasting process allows us to produce exceptional uniformity in each batch, ensuring each grain of malt is perfectly crystallised.","Dark Ales, Brown Ale, Red Ale, Dark Mild, Scotch Ales"
"289","Crystal Extra Dark","32","1.032","8","5","265","69","450","500","450","500","169.3","188.1","0","0","0","0","0","0","0","0","0","0","0","10","Raisins, Christmas Cake. The beautiful rich brown of the grain gives an insight to the exquisite dried fruit and burnt sugar flavours that are imparted by this expertly crafted dark crystal. Used in small amounts, Crystal Extra Dark will help balance flavour and colour in Dark Beers, whilst enhancing head retention.","Stout, Extra Strong Bitter, Porter"
"290","DRC","33","1.033","8","5","265","69","280","320","280","320","105.6","120.6","0","0","0","0","0","0","0","0","0","0","0","20","Heavy Caramel, Subtle Taste of Plums & Raisins. Due to its unique production process, Simpsons? DRC? can be used to substitute darker roasted malts in Dark Beers where the astringency and bitterness inherent to roast malts is not desired. This means that it can be used at a higher rate in the grist to add complex caramel and dried fruit notes with a beautiful red-brown hue.","Pale Ales, British Strong Ales, Belgian Abbey"
"291","Heritage Crystal","32","1.032","8","5","265","69","167","190","167","190","63.2","71.8","0","0","0","0","0","0","0","0","0","0","0","15","Caramel, Toffee. The uniformity and excellent malting characteristics that have ensured Maris Otter has been the favoured barley variety of the British Brewer, also lend themselves to ensuring exceptionally good crystal malt. We?ve hand-crafted this heritage barley variety to produce an outstanding medium crystal that brings flavour and depth of colour to Ales and Bitters.","Ales and Bitters"
"292","Amber","38","1.038","8","5","265","69","54","71","54","71","20.8","27.2","0","0","0","0","0","0","0","0","0","0","0","20","Dry, Biscuit. Perhaps the most versatile of all our roasted products, Simpsons? Amber Malt can be used in a wide variety of beers to add biscuity toasty notes and a beautiful brown hue. Its delicate roast flavour makes it suitable for adding toasty notes to all Dark Beers, as well as lighter Ales and Lagers. Amber Malt brings a clean, crisp dryness to balance delicate floral hops and increases foam stability.","California Common, Stout & Extra Stout, Export, Best Bitter, Dark Lager, Fullers 1845"
"293","Brown","32","1.032","8","4","265","69","430","600","430","600","161.8","225.6","0","0","0","0","0","0","0","0","0","0","0","10","Coffee Beans. Our Brown Malt imparts a rich coffee aroma ideal for Stouts and Porters. It delivers a smooth mouthfeel as well as increasing foam stability. The hue is a deep mahogany that brings warmth and depth to dark beers. Often a forgotten malt.","London Porter, Mid to Dark Belgian Styles, Brown Ale"
"294","Chocolate","32","1.032","8","3","265","69","1067","1300","1067","1300","400.7","488.1","0","0","0","0","0","0","0","0","0","0","0","10","Dark Chocolate. Our Chocolate Malt gives beer a stunning dark brown colour. Chocolate overtones and hints of coffee bring richness and complexity at higher usages in Stouts and Porters.","Winter Warmers, Porter and Stout, Dark Mild, Bock"
"295","Black","32","1.032","8","3","265","69","1433","1900","1433","1900","538","713.1","0","0","0","0","0","0","0","0","0","0","0","10","Cocoa, Neutral. Our Black Malt is excellent for darkening beer colour without imparting too much astringency or roast characteristics. The flavour is surprisingly neutral, with a clean dryness that makes it an incredibly versatile product.
Cocoa, Neutral. Our Black Malt is excellent for darkening beer colour without imparting too much astringency or roast characteristics. The flavour is surprisingly neutral, with a clean dryness that makes it an incredibly versatile product.","Porter, London Brown Ale, Black Hoppy Beers and Black Lager"
"296","Roasted Barley","32","1.032","8","3","240","62","1300","1900","1300","1900","488.1","713.1","0","0","0","0","0","0","0","0","0","0","0","5","Coffee Beans. Roasted Barley is a typical ingredient of dry Irish Stouts. Although the colour specification is very similar to Black Malt, Roasted Barley has an intense roasted coffee flavour that bestows a deep, dark colour with flavours to match.","Irish Stout, Heavy, Imperial Stout"
"297","Oats","28","1.028","8","7","230","74","2","4","2","4","1.3","2.1","0","0","0","0","0","0","0","0","0","0","0","20","Oaty breakfast cereal taste. Simpsons Malted Oats have large, thick husks which helps with run off. Once you crack it open, the creaminess of the oats releases a silky smoothness which imparts a sumptuous velvety texture to your beer. This fullness allows it to take as many hops as you can throw at it for a juice bomb, providing balance. In more traditional usage, Malted Oats provide the back bone of creaminess in Oatmeal Stouts and Porters, smoothing the astringency that may result from the heavy use of roasted grains and adding a complexity of flavour. Malted Oats is a hugely versatile product that can be added to any beer style to impart a creamy, velvety smooth mouthfeel.","Oatmeal Stouts and Porters, Pale Ales and East Coast style IPAs, Double IPA Juice Bombs"
"298","Wheat","38","1.038","8","4.5","315","82.9","2","6","2","6","1.3","2.1","1.95","12.9","36","42","41","47","41","47","0","0","0","70","Citrus, Bready. Wheat malt can be added at 5% to most Light Beers to increase foam stability without affecting haze or flavour. Used at up to 70% as a base malt for Wheat Beer, it imparts a bready flavour and characteristic citrus notes.","Bitter, Scotch Ale, White IPA, Wheat Beers. 
5-15% in Bitter, Scotch Ale, White IPA, 50-70% in Wheat Beers"
"299","Golden Naked Oats","32","1.032","8","7","265","69","12","24","12","24","5.1","9.6","0","0","0","0","0","0","0","0","0","0","0","10","Nutty, Creamy, Porridge. This huskless oat crystal malt is quite simply delicious. An exotic ingredient for the adventurous brewer, it brings a subtle nutty flavour. Its creaminess brings mouthfeel and balance to strong, hop forward beers. One taste and we?re sure you?ll be inspired to start creating a new recipe.","Oat Stouts and Speciality Beers"
"300","Red Rye Crystal","30","1.03","8","2","250","65","237","310","237","310","89.4","116.8","0","0","0","0","0","0","0","0","0","0","0","10","Sweet, Malty, Bread Crust. Red Rye Crystal imparts a beautiful ruby red hue to beers, whilst offering a well-rounded, sweet, malty flavour. A great Autumnal flavour for seasonal beers.","Rye Beers, Red Beers"
"301","Rye","36","1.036","8","7","300","78","2","6","2","6","1.3","2.8","0","0","0","0","0","0","0","0","0","0","0","20","Spicy. Malted Rye contributes a spicy rye note to beers. It adds a unique flavour, giving fullness and mouthfeel and is superb when used in conjunction with Red Rye Crystal. If using at greater than 20%, rice husks are recommended to aid filtration. As well as its use in traditional Rye Beers, Malted Rye is excellent in hoppy Beer styles, complementing citrus hops with its spice.","Rye IPA and Speciality Beers"
"302","Dextrin","31","1.031","8","7","260","67.5","1.3","1.6","1.3","1.6","1","1.2","0","0","0","0","0","0","0","0","0","0","0","20","Mouthfeel and Foam. A handy little tool to keep up your sleeve, Dextrin Malt can be used sparingly to add body, mouthfeel and foam stability to any beer. Particularly useful in very light, hop forward IPAs to balance bitterness, it?s great in lower attenuated sweet beers, such as Mild and Sweet Stout.","Dark, Mild and Sweet Stout. Up to 5% to Improve Mouthfeel and Foam Stability in any Beer 10?20% in Dark Mild and Sweet Stout"
"303","Ale","35","1.035","9","4.5","0","81","0","0","6","9","3","4","0","11.5","0","0","38","45","0","0","0","250","0","100","Swaen?Ale is used to correct over-pale malts, to produce ?golden? beer and to improve palate fullness. For this a steeping degree of 44 to 46% is used, the malt is normally modified and not overmodified, it is cured at 90-95?C and thereby a colour of 6 to 9 EBC is obtained. It?s not just a darker base malt but a unique part of your unique recipes. Swaen?Ale is in harmony with our specialty malts for your craft beers.","Pale Ale styles and bitter beers, most traditional English beer styles, strong export beers."
"304","WhiteSwaen Classic","39","1.039","9","5.5","0","82","0","0","3","5","1.7","2.3","0","13.8","0","0","0","0","0","0","0","0","0","75","Imparts special taste of wheat beers. This wheat malt is essential in making wheat beers but is also used in barley malt-based beers (3?5%) thanks to its protein level that gives the beer a fuller mouthfeel and enhanced head stability. Very rapidly cured at 80?C to aviod increased colour formation. Produces smooth, sparkling beers which emphasise the typical top fermented beer and wheat aroma. Excellent wheat beers with aromas, perfect for styles. Typical top-fermented aroma.","Wheat beer, light beers, Wit, Weizen, alcohol-reduced and non-alcoholic beers, top fermented beers, K?lsch, Ale, Hefeweizen, Alt"
"305","GreenSwaen Ale","35","1.035","9","4.5","0","81","0","0","6","9","3","4","0","11.5","0","0","38","45","0","0","0","250","0","100","GreenSwaen?Ale is used to correct over-pale malts, to produce ?golden? beer and to improve palate fullness. For this a
steeping degree of 44 to 46% is used, the malt is normally modified and not overmodified, it is cured at 90-95?C and thereby a colour of 6 to 9 EBC is obtained. It?s not just a darker base malt but a unique part of your unique recipes. GreenSwaen?Ale is in harmony with our specialty malts for your craft beers. Produces excellent Lagers, Ales.","Pale Ale styles and bitter beers, most traditional English beer styles, strong export beers."
"306","GoldSwaen Amber","35","1.035","9","6.5","0","78","0","0","60","80","23","30","0","0","0","0","0","0","0","0","0","0","0","30","Has reddish shine and typical aroma which serves to intensify and stabilise the flavour. Intensifies the beer?s body and its smoothness, promotes head formation and retention. Caramel malts are produced in several colour stages. They make a considerable contribution to the palate fullness and body, intensification of the malt aroma, the full taste and colour and better head retention. Full red colour, improved flavour stability and fullness, notes of toffee and bread.","Pilsner, light beers, red beers, alcohol reduced beers, Bockbier, export beers, special beers, dark beers."
"307","BlackSwaen Barley","25","1.025","9","4.5","0","73","0","0","1000","1250","375","470","0","0","0","0","0","0","0","0","0","0","0","5","BlackSwaen?Barley imparts the typical roasty aroma. Perfect for colouring. Typical roasty aroma. Enhances deeper colour","Schwarzbier, Stout, Porter, Ales, Bockbier, Altbier, dark beers, all beer types for colouring."
"308","PlatinumSwaen Spelt","37","1.037","9","4.5","0","82","0","0","5","10","2.3","4","0","16","0","0","0","0","0","0","0","0","0","20","Fine combination of typical spelt and malt aromas. Nice spicy notes with a touch of hazelnut. Spicyness and mouthfeel.","Belgian saison, special beers, wheat beers"
"309","Pilsen MD","37","1.037","5","4.5","0","80","0","0","2.5","3.5","1.4","1.8","0","11.5","0","0","35","40","0","0","230","0","0","100","Mild malty. Light in color and low in protein. Our Pilsen is made from the finest European two-row barley. This malt is well modified and can easily be mashed with a single ? temperature infusion. Due to the high enzymatic power it can be used up to 100% of the grain bill in all types of beer.","All types of beer"
"310","Wheat MD","38","1.038","5","6.5","0","83","0","0","2.5","3.5","1.4","1.8","0","12.5","0","0","0","0","0","0","0","0","0","70","Wheat malt gives the specific taste and haze to your wheat beer. Adding wheat malt in smaller amounts will enhance the head retention.","Wheat beers, Hefe ? Weize, Light beers"
"311","Pale Ale MD","37","1.037","5","4.5","0","80","0","0","8","10","3.8","3.8","0","12","0","0","35","50","0","0","0","0","0","100","Our Pale Ale malt is fully modified, kilned longer and more intensively. This malt gives your beer a golden colour.","Amber beers, Ales, Stout, Bock beers, Lagers"
"312","Munich MD","37","1.037","5","4.5","0","79.5","0","0","13.5","16.5","6","6","0","12","0","0","35","50","0","0","0","0","0","80","This malt has a pronounced malty flavor, aroma and an orange - amber colour. It improves the character and full bodiness of the beer.","Amber beers, Ales, Stout, Bock beers, Lagers"
"313","Aromatic MD / Amber MD","37","1.037","5","4.5","0","79","0","0","40","60","19","19","0","12","0","0","0","0","0","0","0","0","0","30","The intensive germination and a mildly kilning will add a very strong malt aroma and a deep reddish color. Amber malt clearly improves flavor stability.  The malt is rather low in diastatic power therefore it can only be used up to 30%.","Trappist, Abbey, Amber beers, Ales, Bock beers"
"314","Aroma 100 MD","37","1.037","5","4.5","0","77","0","0","90","110","38","38","0","12","0","0","0","0","0","0","0","0","0","20","This malt has improves flavor stability, fullness and rounding of the beer color. It pronounces the malty flavor.","Amber beers, Red Colored beer, Ales, Stout, Bock beers, Lagers"
